Uid,Vehicle id,Data date,Year,Make,Model,Model fr,Local version name,Trim,Manufacturer code,Msrp,Evox
803695221,803695220201001,2020-10-01,2021,Hyundai,Tucson,Tucson,2.0 Essential FWD 6AT,Essential,TU3SAF20B100,26099.00,14485 | 2021 Hyundai Tucson SEL
804276721,804276720201001,2020-10-01,2021,Hyundai,Veloster,Veloster,2.0 N 6MT,N,VE23MF20DX39,37799.00,14472 | 2021 Hyundai Veloster Turbo
805542921,805542920201001,2020-10-01,2021,Hyundai,Kona electric,Kona électrique,Preferred,Preferred,KE1SEFEME200/KE1SEFEME266,46149.00,14562 | 2021 Hyundai Kona Ultimate
807046721,807046720201001,2020-10-01,2021,Hyundai,Nexo,Nexo,Ultimate,Ultimate,NX1SEFEMF400,73500.00,14998 | 2021 Hyundai NEXO Limited
809621320,809621320201001,2020-10-01,2020,Hyundai,Veloster,Veloster,2.0 Luxury 6AT,Luxury,VE23AF20A300,25149.00,13772 | 2020 Hyundai Veloster Turbo
812137920,812137920201001,2020-10-01,2020,Hyundai,Elantra GT N Line,Elantra GT N Line,DCT,-,EG35DF16DO00,28749.00,14099 | 2020 Hyundai Elantra GT 
812138021,812138020201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Preferred Sun and Leather 2.0 AWD 6AT,Preferred Sun and Leather,TU3SAA20B268,31799.00,14485 | 2021 Hyundai Tucson SEL
813438521,813438520201001,2020-10-01,2021,Hyundai,Kona electric,Kona électrique,Essential,Essential,KE1SEFEMEX51,44999.00,14562 | 2021 Hyundai Kona Ultimate
814710021,814710020201001,2020-10-01,2021,Hyundai,Venue,Venue,Essential IVT,Essential,VN1SIF16AX40/VN1SIF16A166,18899.00,14670 | 2021 Hyundai Venue SEL
814710121,814710120201001,2020-10-01,2021,Hyundai,Venue,Venue,Preferred IVT,Preferred,VN1SIF16AX42/VN1SIF16A266,21599.00,14670 | 2021 Hyundai Venue SEL
814710221,814710220201001,2020-10-01,2021,Hyundai,Venue,Venue,Trend IVT,Trend,VN1SIF16AX41,22699.00,14670 | 2021 Hyundai Venue SEL
814710321,814710320201001,2020-10-01,2021,Hyundai,Venue,Venue,Trend w/Urban Pkg Black Interior IVT,Trend,VN1SIF16AY85,22849.00,14670 | 2021 Hyundai Venue SEL
814710421,814710420201001,2020-10-01,2021,Hyundai,Venue,Venue,Trend w/Urban Pkg Denim Interior IVT,Trend,VN1SIF16AY89,22849.00,14670 | 2021 Hyundai Venue SEL
814710521,814710520201001,2020-10-01,2021,Hyundai,Venue,Venue,Trend w/Urban Pkg Grey-Lime Interior IVT,Trend,VN1SIF16AY74,22849.00,14670 | 2021 Hyundai Venue SEL
814710621,814710620201001,2020-10-01,2021,Hyundai,Venue,Venue,Essential 6MT,Essential,VN1SMF16AX40,17599.00,14670 | 2021 Hyundai Venue SEL
814710721,814710720201001,2020-10-01,2021,Hyundai,Venue,Venue,Ultimate w/Black Interior IVT,Ultimate,VN1SIF16A485,24999.00,14670 | 2021 Hyundai Venue SEL
814710821,814710820201001,2020-10-01,2021,Hyundai,Venue,Venue,Ultimate w/Denim Interior IVT,Ultimate,VN1SIF16A489,24999.00,14670 | 2021 Hyundai Venue SEL
814710921,814710920201001,2020-10-01,2021,Hyundai,Venue,Venue,Ultimate w/Grey-Lime Interior IVT,Ultimate,VN1SIF16A474,24999.00,14670 | 2021 Hyundai Venue SEL
815181321,815181320201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Urban Edition 2.4 AWD 6AT,Urban Edition,TU3SAA24BX76,35549.00,14486 | 2021 Hyundai Tucson Sport 
819761221,819761220201001,2020-10-01,2021,Hyundai,Veloster,Veloster,2.0 N DCT,N,VE23DF20DX39,39399.00,14472 | 2021 Hyundai Veloster Turbo
819761421,819761420201001,2020-10-01,2021,Hyundai,Nexo,Nexo,Preferred,Preferred,NX1SEFEMF200,71000.00,14998 | 2021 Hyundai NEXO Limited
16352921,16352920201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Essential 6MT,Essential,EL74MF20A100,17899.00,14946 | 2021 Hyundai Elantra  Limited 
735874321,735874320201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Preferred IVT,Preferred,EL74IF20A200,21899.00,14946 | 2021 Hyundai Elantra  Limited 
748896921,748896920201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Essential IVT,Essential,EL74IF20A100,19799.00,14946 | 2021 Hyundai Elantra  Limited 
776097221,776097220201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Ultimate IVT,Ultimate,EL74IF20A400,25599.00,14946 | 2021 Hyundai Elantra  Limited 
788041621,788041620201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Preferred - Sun & Tech Pkg IVT,Preferred - Sun & Tech Pkg,EL74IF20A283,23399.00,14946 | 2021 Hyundai Elantra  Limited 
821734621,821734620201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Ultimate Two-Tone Interior IVT,Ultimate Two-Tone Interior,EL74IF20A454,25599.00,14946 | 2021 Hyundai Elantra  Limited 
821734721,821734720201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Ultimate Tech IVT,Ultimate Tech,EL74IF20A483,28299.00,14946 | 2021 Hyundai Elantra  Limited 
821734821,821734820201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,Ultimate Tech Two-Tone Interior IVT,Ultimate Tech Two-Tone Interior,EL74IF20A479,28299.00,14946 | 2021 Hyundai Elantra  Limited 
821734921,821734920201022,2020-10-22,2021,Hyundai,Elantra Sedan,Elantra Berline,N Line,N Line,EL74DF16DO00,27599.00,14946 | 2021 Hyundai Elantra  Limited 
822387421,822387420201111,2020-11-11,2021,Hyundai,Sonata,Sonata,N Line,N Line,SO84DF25DO00,37999.00,14660 | 2021 Hyundai Sonata Limited
50738721,50738720201127,2020-11-27,2021,Hyundai,Santa Fe,Santa Fe,Essential 2.5 FWD,Essential,SA4SAF25B100,31399.00,14767 | 2021 Hyundai Santa Fe Calligraphy
728065321,728065320201127,2020-11-27,2021,Hyundai,Santa Fe,Santa Fe,Essential 2.5 AWD,Essential,SA4SAA25B100,33399.00,14767 | 2021 Hyundai Santa Fe Calligraphy
728065421,728065420201127,2020-11-27,2021,Hyundai,Santa Fe,Santa Fe,Preferred 2.5 AWD,Preferred,SA4SAA25B200,36399.00,14945 | 2021 Hyundai Santa Fe Limited
767481721,767481720201127,2020-11-27,2021,Hyundai,Santa Fe,Santa Fe,Ultimate-Calligraphy 2.5T AWD,Ultimate-Calligraphy,SA4SAA25D469,47499.00,14767 | 2021 Hyundai Santa Fe Calligraphy
811710421,811710420201127,2020-11-27,2021,Hyundai,Santa Fe,Santa Fe,Preferred-Trend 2.5 AWD,Preferred-Trend,SA4SAA25B241,38499.00,14945 | 2021 Hyundai Santa Fe Limited
